"","act","act_number","docTitle","index","scene","scene_number","speaker","speaker_stage","spoke","stage","title","type","year"
"11","Første akt",1,"Barselsstuen Komedie",5,"Scene 2",2,"Troels",NA,"Er der noget at se?",NA,"Barselsstuen",4,"(1724)"
"12","Første akt",1,"Barselsstuen Komedie",6,"Scene 2",2,"Claus",NA,"Javist, der er så stor alarm i Åbenrå. Jeg kunne ikke komme frem for folk og vogne.",NA,"Barselsstuen",4,"(1724)"
"13","Første akt",1,"Barselsstuen Komedie",7,"Scene 2",2,"Troels",NA,"Ha ha ha!",NA,"Barselsstuen",4,"(1724)"
"14","Første akt",1,"Barselsstuen Komedie",8,"Scene 2",2,"Claus",NA,"Det er min tro som jeg siger.",NA,"Barselsstuen",4,"(1724)"
"15","Første akt",1,"Barselsstuen Komedie",9,"Scene 2",2,"Troels",NA,"Jeg ved det nok. Men hvad mener du det er?",NA,"Barselsstuen",4,"(1724)"
"16","Første akt",1,"Barselsstuen Komedie",10,"Scene 2",2,"Claus",NA,"Jeg ved ikke, derfor vil jeg just op i tårnet at se hvad det er.",NA,"Barselsstuen",4,"(1724)"
"17","Første akt",1,"Barselsstuen Komedie",11,"Scene 2",2,"Troels",NA,"Du nar, spar kuns denne gang din eneste skilling. Det er ikke andet end en barselsstue hos os.",NA,"Barselsstuen",4,"(1724)"
"18","Første akt",1,"Barselsstuen Komedie",12,"Scene 2",2,"Claus",NA,"Ej, det er ikke muligt! Kan der gøres sådan alarm formedelst en lumpen barselsstue, besynderlig hos mådelige standsfolk?",NA,"Barselsstuen",4,"(1724)"
"19","Første akt",1,"Barselsstuen Komedie",13,"Scene 2",2,"Troels",NA,"Mådelige folk! Ved du ikke at gemene folk er allerprægtigst? Se kun til bryllupper. Kommer man til en skrædders eller skomagers bryllup, bliver man modtaget med trompeter og valdhorn, sat ved bord så langt som fra kyndelmisse til påske, sigtet fuldt af kostbare retter. Kommer man til folk af den anden klasse, som er højere, får man kun te, kaffe og komplimenter ... og til folk af første klasse får man undertiden ikke uden brudevielsen at høre og en pris tobak for næsen. Jeg hører nok, Claus, at du kender ikke København ret.",NA,"Barselsstuen",4,"(1724)"
"20","Første akt",1,"Barselsstuen Komedie",14,"Scene 2",2,"Claus",NA,"Det er sandt nok som du siger, Troels; men mig synes det er så sælsomt for din husbond at gøre sådan alarm fordi hans kone har fået et barn, besynderlig efterdi han ej er vis på om han selv er ... Jeg tør ikke sige mere.",NA,"Barselsstuen",4,"(1724)"
"21","Første akt",1,"Barselsstuen Komedie",15,"Scene 2",2,"Troels",NA,"Ej, hvilken snak! Det er kun onde mennesker som breder sådant ud. Han er jo en mand som ikke endnu er sine 70 år. Tilmed svær’ både jordemoren og ammen på at barnet har sin faders ansigt lige på et hår.",NA,"Barselsstuen",4,"(1724)"
"22","Første akt",1,"Barselsstuen Komedie",16,"Scene 2",2,"Claus",NA,"Just derfor tror jeg det ikke.",NA,"Barselsstuen",4,"(1724)"
"23","Første akt",1,"Barselsstuen Komedie",17,"Scene 2",2,"Troels",NA,"Det vil ikke sige meget hvad sådan en slyngel siger. Tog jeg vidne på din mund, skulle du vist få en ulykke.",NA,"Barselsstuen",4,"(1724)"
"24","Første akt",1,"Barselsstuen Komedie",18,"Scene 2",2,"Claus",NA,"Du måtte gerne føre vidne på min mund. Jeg vil altid tilstå hvad jeg har sagt; thi jordemødre og ammer siger altid at barnet er sin far ligt, endskønt man kan bevise at faren var i Ostindien samme tider som barnet blev gjort. Men der kommer din husbond. Adjøs.",NA,"Barselsstuen",4,"(1724)"
"25","Første akt",1,"Barselsstuen Komedie",1,"Scene 3",3,NA,NA,NA,"Corfitz, Troels","Barselsstuen",1,"(1724)"
"26","Første akt",1,"Barselsstuen Komedie",2,"Scene 3",3,"Corfitz",NA,"Troels, er du der? Jeg var glad at jeg kom ud fra den sværm. Jeg er blevet så bombarderet med gratulationer at jeg kan næppe stå på mine ben. Men fanden er i den knivsmedskone til at snakke.",NA,"Barselsstuen",4,"(1724)"
"27","Første akt",1,"Barselsstuen Komedie",3,"Scene 3",3,"Troels",NA,"Det er sandt husbond siger. Jeg har min tro óg mærket det samme. Jeg havde nær kommet i klammeri med hende forgangen for husbonds skyld.",NA,"Barselsstuen",4,"(1724)"
"28","Første akt",1,"Barselsstuen Komedie",4,"Scene 3",3,"Corfitz",NA,"Talte hun da om mig?",NA,"Barselsstuen",4,"(1724)"
"29","Første akt",1,"Barselsstuen Komedie",5,"Scene 3",3,"Troels",NA,"Nej, aldeles ikke. Nej, det var noget ganske andet vi talte, men jeg tog husbonds parti denne gang som jeg altid plejer at gøre.",NA,"Barselsstuen",4,"(1724)"
"30","Første akt",1,"Barselsstuen Komedie",6,"Scene 3",3,"Corfitz",NA,"Hvad fanden er det for snak? Tog du mit parti imod hende, så må hun jo endelig have talt ilde om mig.",NA,"Barselsstuen",4,"(1724)"
"31","Første akt",1,"Barselsstuen Komedie",7,"Scene 3",3,"Troels",NA,"Nej, sagde jeg hende det på, så løj jeg. Jeg har mare aldrig hørt hende tale ilde om husbond. Hun talte sandt at sige slet intet. Hun sad kun og læste nogle sentenser i en gammel bog.",NA,"Barselsstuen",4,"(1724)"
"32","Første akt",1,"Barselsstuen Komedie",8,"Scene 3",3,"Corfitz",NA,"Hvad var det for sentenser?",NA,"Barselsstuen",4,"(1724)"
"33","Første akt",1,"Barselsstuen Komedie",9,"Scene 3",3,"Troels",NA,"Jeg kan ikke erindre dem alle; men hun læste blandt andet at en gammel mand der ta’r en ung kone, er ligesom en der ta’r musikanter i tjeneste for at få hele byen til at danse da han dog ikke kan danse selv. Husbond kan selv tænke hvordan jeg blev til mode da jeg hørte det.",NA,"Barselsstuen",4,"(1724)"
"34","Første akt",1,"Barselsstuen Komedie",10,"Scene 3",3,"Corfitz",NA,"Hvad fanden kom det dig ved? Jeg tror den dreng er gal med sin snak.",NA,"Barselsstuen",4,"(1724)"
"35","Første akt",1,"Barselsstuen Komedie",11,"Scene 3",3,"Troels",NA,"Nej, husbond skal høre hvad hun læste videre: Ja, han er ligesom de træer der bær’ ingen frugt, men tjener kun til skygge. Havde jeg da ikke årsag at ærgre mig på husbonds vegne? Jeg kan sige at det blev sort for min øjne.",NA,"Barselsstuen",4,"(1724)"
"36","Første akt",1,"Barselsstuen Komedie",12,"Scene 3",3,"Corfitz",NA,"Du letfærdige skælm! Hvad kommer det mig eller dig ved hvad som står skrevet i en gammel bog?",NA,"Barselsstuen",4,"(1724)"
"37","Første akt",1,"Barselsstuen Komedie",13,"Scene 3",3,"Troels",NA,"Nej, mig kommer det ikke ved.",NA,"Barselsstuen",4,"(1724)"
"38","Første akt",1,"Barselsstuen Komedie",14,"Scene 3",3,"Corfitz",NA,"Kommer det da mig ved?",NA,"Barselsstuen",4,"(1724)"
"39","Første akt",1,"Barselsstuen Komedie",15,"Scene 3",3,"Troels",NA,"Nej, ingen af os, husbond, thi bogen var over hundrede år gammel.",NA,"Barselsstuen",4,"(1724)"
"40","Første akt",1,"Barselsstuen Komedie",16,"Scene 3",3,"Corfitz",NA,"Hvorfor ærgrede du dig når du ingen årsag havde?",NA,"Barselsstuen",4,"(1724)"
"41","Første akt",1,"Barselsstuen Komedie",17,"Scene 3",3,"Troels",NA,"Jeg sagde jo ikke at jeg ærgrede mig, men jeg kunne have årsag dertil. Jeg vil sige husbond noget.",NA,"Barselsstuen",4,"(1724)"
"42","Første akt",1,"Barselsstuen Komedie",18,"Scene 3",3,"Corfitz",NA,"Hvad vil du sige?",NA,"Barselsstuen",4,"(1724)"
"43","Første akt",1,"Barselsstuen Komedie",19,"Scene 3",3,"Troels",NA,"Ej, husbond er så curiøs, han vil vide alting.",NA,"Barselsstuen",4,"(1724)"
"44","Første akt",1,"Barselsstuen Komedie",20,"Scene 3",3,"Corfitz",NA,"Den dreng gør mig vist nok gal i hovedet.",NA,"Barselsstuen",4,"(1724)"
"45","Første akt",1,"Barselsstuen Komedie",21,"Scene 3",3,"Corfitz","(Sagte)","Jeg ved ikke enten det er af ondskab eller tåbelighed han taler således.",NA,"Barselsstuen",6,"(1724)"
"46","Første akt",1,"Barselsstuen Komedie",22,"Scene 3",3,"Corfitz","(Højt)","Men har du mærket at Gothard Sanger fra Tyskland har haft nogen gang i mit hus?",NA,"Barselsstuen",6,"(1724)"
"47","Første akt",1,"Barselsstuen Komedie",23,"Scene 3",3,"Troels",NA,"Hvorfor spør’ husbond derom? Måske husbond er bange at han ikke selv er far til ...",NA,"Barselsstuen",4,"(1724)"
"48","Første akt",1,"Barselsstuen Komedie",24,"Scene 3",3,"Corfitz",NA,"Ej, svar mig til det jeg spør’ dig om!",NA,"Barselsstuen",4,"(1724)"
"49","Første akt",1,"Barselsstuen Komedie",25,"Scene 3",3,"Troels",NA,"Måske husbond frygter at mutter har ladet sig ...",NA,"Barselsstuen",4,"(1724)"
"50","Første akt",1,"Barselsstuen Komedie",26,"Scene 3",3,"Corfitz",NA,"Svar kun til mit spørgsmål, du næsvis! Jeg spør’ kun om du har fornummet.",NA,"Barselsstuen",4,"(1724)"
"51","Første akt",1,"Barselsstuen Komedie",27,"Scene 3",3,"Troels",NA,"Nej, jeg har såmænd ikke set ham her i huset siden december måned. Men hvorfor vil husbond vide det? Jeg tror ikke at mutter skulle have været så gal at lade sig ...",NA,"Barselsstuen",4,"(1724)"
"52","Første akt",1,"Barselsstuen Komedie",28,"Scene 3",3,"Corfitz",NA,"Hvad er det for sladder: “Jeg tror, jeg tror ikke”? Der er jo ingen som spør’ hvad du tror eller ikke tror. Hvad tid i december måned så du ham her i huset?",NA,"Barselsstuen",4,"(1724)"
"53","Første akt",1,"Barselsstuen Komedie",29,"Scene 3",3,"Troels",NA,"Mig synes at det var omtrent 14 dage før jul. Men hvorfor studser husbond så derved? Jeg skulle aldrig tro at fanden har redet karlen at han skulle have ...",NA,"Barselsstuen",4,"(1724)"
"54","Første akt",1,"Barselsstuen Komedie",30,"Scene 3",3,"Corfitz",NA,"Kommer nu din slyngel med din tro, med din ræsonnering igen? Du siger det var 14 dage før jul?",NA,"Barselsstuen",4,"(1724)"
"55","Første akt",1,"Barselsstuen Komedie",31,"Scene 3",3,"Trols",NA,"Ja, det var, husbond, og nu skriver vi vist den 8. oktober.",NA,"Barselsstuen",4,"(1724)"
"56","Første akt",1,"Barselsstuen Komedie",32,"Scene 3",3,"Corfitz",NA,"Hvem pokker spør’ om hvad vi skriver? Det er en fandens dreng, han gør mig gal med sin snak. Fort, herut!",NA,"Barselsstuen",4,"(1724)"
"57","Første akt",1,"Barselsstuen Komedie",1,"Scene 4",4,"Corfitz","(alene, tæller på fingrene)",NA,NA,"Barselsstuen",3,"(1724)"
"58","Første akt",1,"Barselsstuen Komedie",2,"Scene 4",4,"Corfitz",NA,"December 1, januar 2, februar 3, marts 4, april 5, maj 6, juni 7, juli 8, august 9, september 10. Det er jo forbandet galt. Tøv, lad se nok engang. December 1, januar 2, februar 3, marts 4, maj 5, juni 6, september 7. Ja ja, det er dog kun 7 måneder på at regne, uden at jeg har fortalt mig.",NA,"Barselsstuen",4,"(1724)"
"59","Første akt",1,"Barselsstuen Komedie",3,"Scene 4",4,"Corfitz","(Tæller igen og får 10 måneder 2 gange efter hinanden)","Hvor fanden jeg tæller, så mærker jeg at jeg er og bli’r hanrej.",NA,"Barselsstuen",6,"(1724)"
"60","Første akt",1,"Barselsstuen Komedie",4,"Scene 4",4,"Corfitz",NA,NA,"(Han bliver vred og tager sin hat og kaster den mod gulvet så at lidserne går i stykker, hvorudover, når han skal sætte den på hovedet igen, er den ganske bred og hængende)","Barselsstuen",2,"(1724)"
"61","Første akt",1,"Barselsstuen Komedie",5,"Scene 4",4,"Corfitz",NA,"Hej så! Der har jeg min tro fuldkommen konfirmation af min hat. Får jeg kun fat på den gode sanger, jeg skal smøre ham så at han aldrig skal synge enten diskant eller bas mere. Men mon jeg kan ikke falskelig mistænke en ærlig mand? Nej, når jeg overlægger det ene med det andet, så er det ikke rigtigt. Den forgiftige Maren Knivsmeds sad og stødte en anden kone på armen så ofte hun hørte barnet skrige, sagde derhos: “Hør! Det får min tro farens stemme, det er ligesom jeg hørte ham synge på orgelværket, alene at røsten er ikke så stærk hos barnet.” Hvortil den anden lo og sagde: “Madame, I er alt for satirisk.” Da jeg hørte det, var det ligesom en stak mig en kniv i hjertet. Min mistanke blev bestyrket da jeg siden gav agt på barnet og mærkede at det allerede begyndte at vrikke hovedet ligesom det ville slå takten. Endelig besegler og stadfæster Troels alting ved det han siger mig, at samme karl var her i huset i min fraværelse 2 uger før jul.",NA,"Barselsstuen",4,"(1724)"
"62","Første akt",1,"Barselsstuen Komedie",6,"Scene 4",4,"Corfitz",NA,"Men hvad skal jeg gøre? Jeg får vel at have tålmodighed og betale arbejdslønnen oven i købet. Når jeg regner efter hvad denne barsel har allerede kostet mig, så rejser hårene sig på mit hoved. Dog, løn som forskyldt! Hvad havde jeg, en mand på 70 år, dér at bestille? Men der kommer min nabo Jeronimus.",NA,"Barselsstuen",4,"(1724)"
"63","Første akt",1,"Barselsstuen Komedie",1,"Scene 5",5,NA,NA,NA,"Jeronimus, Corfitz","Barselsstuen",1,"(1724)"
"64","Første akt",1,"Barselsstuen Komedie",2,"Scene 5",5,"Jeronimus",NA,"Godmorgen, kære nabo, jeg ønsker megen lykke med hans unge arving.",NA,"Barselsstuen",4,"(1724)"
"65","Første akt",1,"Barselsstuen Komedie",3,"Scene 5",5,"Corfitz",NA,"Tak, nabo, for hans ønske. Men har I ikke været i barselsstuen endnu?",NA,"Barselsstuen",4,"(1724)"
"66","Første akt",1,"Barselsstuen Komedie",4,"Scene 5",5,"Jeronimus",NA,"Nej, jeg tør ikke komme der. Jeg er bange for min hat.",NA,"Barselsstuen",4,"(1724)"
"67","Første akt",1,"Barselsstuen Komedie",5,"Scene 5",5,"Corfitz",NA,"Jeg var tilfreds min hat var fanden i vold, thi jeg bli’r bange nu når jeg hører tale om hatte.",NA,"Barselsstuen",4,"(1724)"
"68","Første akt",1,"Barselsstuen Komedie",6,"Scene 5",5,"Jeronimus",NA,"Ha ha ha!",NA,"Barselsstuen",4,"(1724)"
"69","Første akt",1,"Barselsstuen Komedie",7,"Scene 5",5,"Corfitz",NA,"Bele mig ikke, kære nabo! I har synd deraf. Jeg bekender at det var dårligst af mig som en ældgammel mand at tage en ung kone.",NA,"Barselsstuen",4,"(1724)"
"70","Første akt",1,"Barselsstuen Komedie",8,"Scene 5",5,"Jeronimus",NA,"Ja, nu er det gjort, nu er for sildig at græde. Men hvem har nabo mistænkt? Jeg har min tro ikke gjort ham nogen indpas.",NA,"Barselsstuen",4,"(1724)"
"71","Første akt",1,"Barselsstuen Komedie",9,"Scene 5",5,"Corfitz",NA,"Ak, jeg må le! I er vel undskyldt, nabo. Nej, jeg er bange for en ung sanger fra Tyskland som min Troels siger har haft gang her i huset.",NA,"Barselsstuen",4,"(1724)"
"72","Første akt",1,"Barselsstuen Komedie",10,"Scene 5",5,"Jeronimus",NA,"Ej, hvad vil det sige? Måske jeres kone er elsker af musikken og derfor tilsteder sådan musikant at komme i huset. Man ser jo mange koner uden fortænkelse gøre dette.",NA,"Barselsstuen",4,"(1724)"
"73","Første akt",1,"Barselsstuen Komedie",11,"Scene 5",5,"Corfitz",NA,"Ak, nabo, jeg er bange de karle er bedre musekatter end musikanter. Enten det er nu så eller så, så siger dog folk at barnet ligner samme karl på et hår.",NA,"Barselsstuen",4,"(1724)"
"74","Første akt",1,"Barselsstuen Komedie",12,"Scene 5",5,"Jeronimus",NA,"Det må være nogle skarnsfolk som siger sådant.",NA,"Barselsstuen",4,"(1724)"
"75","Første akt",1,"Barselsstuen Komedie",13,"Scene 5",5,"Corfitz",NA,"Hvo der turde sige mig det i øjnene, den skulle få en ulykke for sin umage, men jeg får det at vide af andre gode venner der hører det.",NA,"Barselsstuen",4,"(1724)"
"76","Første akt",1,"Barselsstuen Komedie",14,"Scene 5",5,"Jeronimus",NA,"De må være fanden og ikke gode venner der bringer sådan snak for jer. Kom én til mig og ville fortælle mig i fortrolighed at den eller den har kaldt mig hanrej, da skulle han kun blive slet belønnet derfor.",NA,"Barselsstuen",4,"(1724)"
"77","Første akt",1,"Barselsstuen Komedie",15,"Scene 5",5,"Corfitz",NA,"Lad os ikke tale mere derom. Der kommer drengen.",NA,"Barselsstuen",4,"(1724)"
"78","Første akt",1,"Barselsstuen Komedie",1,"Scene 6",6,NA,NA,NA,"Troels, Corfitz, Jeronimus","Barselsstuen",1,"(1724)"
"79","Første akt",1,"Barselsstuen Komedie",2,"Scene 6",6,"Troels",NA,"Jeg skulle i byen i et ærinde. Mutter bad at fatter ville have den godhed imidlertid at male disse kaffebønner, thi her er ingen anden ved hånden.",NA,"Barselsstuen",4,"(1724)"
"80","Første akt",1,"Barselsstuen Komedie",3,"Scene 6",6,"Corfitz",NA,"Ej, på dør, du flegel! Kan du ikke se at jeg har fremmed hos mig?",NA,"Barselsstuen",4,"(1724)"
"81","Første akt",1,"Barselsstuen Komedie",4,"Scene 6",6,"Troels",NA,"Ak, fatter, vær så god! Monsieur Jeronimus er jo ikke fremmed.",NA,"Barselsstuen",4,"(1724)"
"82","Første akt",1,"Barselsstuen Komedie",5,"Scene 6",6,"Corfitz",NA,"Bort, siger jeg, nu har jeg andet i mit hoved.",NA,"Barselsstuen",4,"(1724)"
"83","Første akt",1,"Barselsstuen Komedie",6,"Scene 6",6,"Troels",NA,"Fatter skal ikke bryde sit hoved dermed, men alene sine hænder.",NA,"Barselsstuen",4,"(1724)"
"84","Første akt",1,"Barselsstuen Komedie",7,"Scene 6",6,"Corfitz",NA,"Du skal få en ulykke går du ikke ud, du næsvis!",NA,"Barselsstuen",4,"(1724)"
"85","Første akt",1,"Barselsstuen Komedie",8,"Scene 6",6,"Troels","(går bort og kommer tilbage igen med møllen)",NA,NA,"Barselsstuen",3,"(1724)"
"86","Første akt",1,"Barselsstuen Komedie",9,"Scene 6",6,"Troels",NA,"Ak, fatter, vær så god. Jeg får min tro ellers utak.",NA,"Barselsstuen",4,"(1724)"
"87","Første akt",1,"Barselsstuen Komedie",10,"Scene 6",6,"Jeronimus",NA,"Fly mig møllen, min søn, og gak dit ærinde. Jeg gad gerne male kaffe.",NA,"Barselsstuen",4,"(1724)"
"88","Første akt",1,"Barselsstuen Komedie",11,"Scene 6",6,"Corfitz",NA,"Nej, ellers tak, nabo. Skal nogen af os male, så er jeg nærmest.",NA,"Barselsstuen",4,"(1724)"
"89","Første akt",1,"Barselsstuen Komedie",12,"Scene 6",6,"Corfitz",NA,NA,"(Han maler og snakker tillige)","Barselsstuen",2,"(1724)"
"90","Første akt",1,"Barselsstuen Komedie",13,"Scene 6",6,"Corfitz",NA,"Det er allerede det sjette pund kaffe som er blevet fortæret i denne barselsstue. Hårene må rejse sig på hovedet når man tænker på det såvel som andet. Kedlen er aldrig af ilden, thi én vil have kaffe, en anden grøn te, en anden te de bou eller de bok, hvad fanden det er de kalder det, så at dersom det varer længe, beholder jeg næppe så mange penge tilbage at jeg kan købe en strikke for, om jeg ville hænge mig.",NA,"Barselsstuen",4,"(1724)"
"91","Første akt",1,"Barselsstuen Komedie",14,"Scene 6",6,"Corfitz",NA,"Jeg tror ingen anden er autor til denne kaffedrikken end Lucifer, thi den er værre at komme i med end brændevin. Min kone begynder alt på den store vis at klage sig ilde førend hun får kaffe om dagen. Jeg har mærket, nabo, en synderlig virkning hos disse brændte bønner. Jeg har set mange koner og piger siddet så stille og ærbart i selskaber ligesom de kunne være i en kirke, men så snart de har fået dette brændte djævelskab i livet, begynder mundene at løbe på dem som peberkværne. Ja, det som mere er, nabo, så snart får de ikke tre-fire skåle til livs førend de straks får lyst til at spille kort. Det har jeg mærket ti og ti gange, så der må endelig være noget forgift i samme bønner. Jeg har altid hadet den drik, om ikke for andet så dog alene formedelst den årsag at samme bønner kommer fra tyrkerne, som er kristendommens fjender.",NA,"Barselsstuen",4,"(1724)"
"92","Første akt",1,"Barselsstuen Komedie",15,"Scene 6",6,"Jeronimus",NA,"Ej, nabo, mal ikke mere, så holder I måske óg straks op med at føre sådan snak. Jeg mærker af jeres egen snak at det er sandt som I siger at kaffe har sådan virkning; thi kan I blive så talende og føre sådan underlig snak alene af lugten, hvad mon da de ikke gør som får det i livet? Jeg underskriver ikke i alting sådan tale. Må ikke det gode fruentimmer også have noget at fornøje sig med om eftermiddagen, såvel som vi andre der sidder på vinhusene om aftenen og kommer drukne hjem?",NA,"Barselsstuen",4,"(1724)"
"93","Første akt",1,"Barselsstuen Komedie",16,"Scene 6",6,"Jeronimus",NA,"Jeg har aldrig præket mod te og kaffe, thi af al slags drik er det den uskyldigste. Tænk engang hvor det gik til i gamle dage, nabo, da fruentimmeret drak koldskål om sommeren og spansk vin om vinteren, da kunne de ikke gøre mange besøgelser uden de måtte lave sig på en halv rus. Lad os derfor kun tie stille dermed, nabo; thi skal fruentimmer have noget at fornøje sig med i selskab, hvilket er synd at nægte dem mere end mandfolk (thi mange af dem har flere onde og sure dage end vi), så er det bedre at debauchen sker i vand end i vin eller brændevin.",NA,"Barselsstuen",4,"(1724)"
"94","Første akt",1,"Barselsstuen Komedie",17,"Scene 6",6,"Corfitz",NA,"Ja, nabo, jeg vil lade alt dette stå ved sit værd. Jeg skulle uden fortrydelse give penge ud til te, kaffe, sukkerlade, spansk vin, gode råd, syltetøj, doktor, barber, kvaksalver, jordemor, signekælling, amme, barnepige. Jeg ville med glæde male kaffen, puste under kedlen, ja, sidde ved vuggen dersom jeg var vis på at jeg var ... Men har I ikke hørt hvad hollænderen siger:",NA,"Barselsstuen",4,"(1724)"
"95","Første akt",1,"Barselsstuen Komedie",18,"Scene 6",6,"Corfitz",NA,"Hee kan en yonge vrouw en oude man bedriegen!
En ander maekt het kind, en ick moet staaen wiegen.
",NA,"Barselsstuen",5,"(1724)"
"96","Første akt",1,"Barselsstuen Komedie",19,"Scene 6",6,"Jeronimus",NA,"Ej, lad fare slige griller og kom hjem til mig at smøge en pibe tobak.",NA,"Barselsstuen",4,"(1724)"
"97","Første akt",1,"Barselsstuen Komedie",20,"Scene 6",6,"Corfitz",NA,"Jeg vil straks komme efter.",NA,"Barselsstuen",4,"(1724)"
